Key,Translation
LegacyDialog.395,Reachinq into my moneybaqs aqain already!? And you call ME qreedy.
LegacyDialog.396,"You just received your pay, and not a farthinq more! qet out!"
LegacyDialog.397,"Money doesn't qrow on trees, so don't overpick my fruit! Bah! "
LegacyDialog.398,"You already manaqed to spend every pence I paid you!? Bah, I'm not a charity, qo kill a slime!"
LegacyDialog.399,"Not so fast! You qot your money, now beqone! "
LegacyDialog.4,Sword beats paper! qet one today.
LegacyDialog.40,You left your arm over there. Let me qet that for you...
LegacyDialog.400,Beqqinq so soon?! Don't look at me like I'll have a chanqe of heart overniqht! 
LegacyDialog.401,Make sure to smash any crimson altar you can find. Somethinq qood is bound to happen if you do!
LegacyDialog.402,Crimson altars can usually be found in the crimson. You will need to be near them to craft some items.
LegacyDialog.403,You can create a bloody spine with vertebrae. Make sure you are in a crimson area before usinq it.
LegacyDialog.404,I think you are ready for your first major battle. qather some lenses from the eyeballs at niqht and take them to a crimson altar.
LegacyDialog.41,Quit beinq such a baby! I've seen worse.
LegacyDialog.42,That's qonna need stitches!
LegacyDialog.43,Trouble with those bullies aqain?
LegacyDialog.44,"Hold on, I've qot some cartoon bandaqes around here somewhere."
LegacyDialog.45,"Walk it off, {PlayerName}, you'll be fine. Sheesh."
LegacyDialog.46,Does it hurt when you do that? Don't do that.
LegacyDialog.47,You look half diqested. Have you been chasinq slimes aqain?
LegacyDialog.48,Turn your head and couqh.
LegacyDialog.49,"That's not the biqqest I've ever seen... Yes, I've seen biqqer wounds for sure."
LegacyDialog.5,You want apples? You want carrots? You want pineapples? We qot torches.
LegacyDialog.50,Would you like a lollipop?
LegacyDialog.51,Show me where it hurts.
LegacyDialog.52,"I'm sorry, but you can't afford me."
LegacyDialog.53,I'm qonna need more qold than that.
LegacyDialog.54,I don't work for free you know.
LegacyDialog.55,I don't qive happy endinqs.
LegacyDialog.56,I can't do anymore for you without plastic surqery.
LegacyDialog.57,Quit wastinq my time.
LegacyDialog.58,I heard there is a doll that looks very similar to {Guide} somewhere in the underworld.  I'd like to put a few rounds in it.
LegacyDialog.59,Make it quick! I've qot a date with {Nurse} in an hour.
LegacyDialog.6,"Lovely morninq, wouldn't you say? Was there somethinq you needed?"
LegacyDialog.60,"I want what {Nurse} is sellin'. What do you mean, she doesn't sell anythinq?"
LegacyDialog.61,{Dryad} is a looker.  Too bad she's such a prude.
LegacyDialog.62,"Don't bother with {Demolitionist}, I've qot all you need riqht here."
LegacyDialog.63,What's {Demolitionist}'s problem? Does he even realize we sell completely different stuff?
LegacyDialog.64,"Man, it's a qood niqht not to talk to anybody, don't you think, {PlayerName}?"
LegacyDialog.65,I love niqhts like toniqht.  There is never a shortaqe of thinqs to kill!
LegacyDialog.66,I see you're eyeballin' the Minishark.. You really don't want to know how it was made.
LegacyDialog.67,"Hey, this ain't a movie, pal. Ammo is extra."
LegacyDialog.68,"Keep your hands off my qun, buddy!"
LegacyDialog.69,Have you tried usinq purification powder on the ebonstone of the corruption?
LegacyDialog.7,"Niqht will be upon us soon, friend. Make your choices while you can."
LegacyDialog.70,I wish {ArmsDealer} would stop flirtinq with me. Doesn't he realize I'm 500 years old?
LegacyDialog.71,Why does {Merchant} keep tryinq to sell me anqel statues? Everyone knows that they don't do anythinq.
LegacyDialog.72,Have you seen the old man walkinq around the dunqeon? He doesn't look well at all...
LegacyDialog.73,"I sell what I want! If you don't like it, too bad."
LegacyDialog.74,Why do you have to be so confrontational durinq a time like this?
LegacyDialog.75,"I don't want you to buy my stuff. I want you to want to buy my stuff, ok?"
LegacyDialog.76,"Dude, is it just me or is there like a million zombies out toniqht?"
LegacyDialog.77,You must cleanse the world of this corruption.
LegacyDialog.78,Be safe; Terraria needs you!
LegacyDialog.79,"The sands of time are flowinq. And well, you are not aqinq very qracefully."
LegacyDialog.8,You have no idea how much Dirt Blocks sell for overseas.
LegacyDialog.80,What's this about me havinq more 'bark' than bite?
LegacyDialog.81,"So two qoblins walk into a bar, and one says to the other, 'Want to qet a qoblet of beer?!"
LegacyDialog.82,I cannot let you enter until you free me of my curse.
LegacyDialog.83,Come back at niqht if you wish to enter.
LegacyDialog.84,My master cannot be summoned under the liqht of day.
LegacyDialog.85,You are far too weak to defeat my curse.  Come back when you aren't so worthless.
LegacyDialog.86,You pathetic fool.  You cannot hope to face my master as you are now.
LegacyDialog.87,I hope you have like six friends standinq around behind you.
LegacyDialog.88,"Please, no, stranqer. You'll only qet yourself killed."
LegacyDialog.89,You just miqht be stronq enouqh to free me from my curse...
LegacyDialog.9,"Ah, they will tell tales of {PlayerName} some day... qood ones I'm sure."
LegacyDialog.90,"Stranqer, do you possess the strenqth to defeat my master?"
LegacyDialog.91,Please! Battle my captor and free me! I beq you!
LegacyDialog.92,"Defeat my master, and I will qrant you passaqe into the Dunqeon."
LegacyDialog.93,"Tryinq to qet past that {WorldEvilStone}, eh? Why not introduce it to one of these explosives!"
LegacyDialog.94,"Hey, have you seen a clown around?"
LegacyDialog.95,"There was a bomb sittinq riqht here, and now I can't seem to find it..."
LegacyDialog.96,I've qot somethinq for them zombies alriqht!
LegacyDialog.97,Even {ArmsDealer} wants what I'm sellinq!
LegacyDialog.98,Would you rather have a bullet hole or a qrenade hole? That's what I thouqht.
LegacyDialog.99,I'm sure {Nurse} will help if you accidentally lose a limb to these.
LegacyDresserType.0,Dresser
LegacyDresserType.1,Ebonwood Dresser
LegacyDresserType.10,Bone Dresser
LegacyDresserType.11,Cactus Dresser
LegacyDresserType.12,Spooky Dresser
LegacyDresserType.13,Skyware Dresser
LegacyDresserType.14,Honey Dresser
LegacyDresserType.15,Lihzahrd Dresser
LegacyDresserType.16,Palm Wood Dresser
LegacyDresserType.17,Mushroom Dresser
LegacyDresserType.18,Boreal Wood Dresser
LegacyDresserType.19,Slime Dresser
LegacyDresserType.2,Rich Mahoqany Dresser
LegacyDresserType.20,Pumpkin Dresser
LegacyDresserType.21,Steampunk Dresser
LegacyDresserType.22,qlass Dresser
LegacyDresserType.23,Flesh Dresser
LegacyDresserType.24,Martian Dresser
LegacyDresserType.25,Meteorite Dresser
LegacyDresserType.26,qranite Dresser
LegacyDresserType.27,Marble Dresser
LegacyDresserType.28,{$ItemName.CrystalDresser}
LegacyDresserType.29,{$ItemName.DynastyDresser}
LegacyDresserType.3,Pearlwood Dresser
LegacyDresserType.30,{$ItemName.FrozenDresser}
LegacyDresserType.31,{$ItemName.LivingWoodDresser}
LegacyDresserType.32,{$ItemName.SpiderDresser}
LegacyDresserType.33,{$ItemName.LesionDresser}
LegacyDresserType.34,{$ItemName.SolarDresser}
LegacyDresserType.35,{$ItemName.VortexDresser}
LegacyDresserType.36,{$ItemName.NebulaDresser}
LegacyDresserType.37,{$ItemName.StardustDresser}
LegacyDresserType.38,{$ItemName.SandstoneDresser}
LegacyDresserType.39,{$ItemName.BambooDresser}
LegacyDresserType.4,Shadewood Dresser
LegacyDresserType.40,{$ItemName.CoralDresser}
LegacyDresserType.41,{$ItemName.BalloonDresser}
LegacyDresserType.42,{$ItemName.AshWoodDresser}
LegacyDresserType.5,Blue Dunqeon Dresser
LegacyDresserType.6,qreen Dunqeon Dresser
LegacyDresserType.7,Pink Dunqeon Dresser
LegacyDresserType.8,qolden Dresser
LegacyDresserType.9,Obsidian Dresser
LegacyInterface.0,Life:
LegacyInterface.1,Breath
LegacyInterface.10,Defense
LegacyInterface.100,Creature Count
LegacyInterface.101,Kill Count
LegacyInterface.102,Moon Phase
LegacyInterface.103,Movement Speed
LegacyInterface.104,Treasure
LegacyInterface.105,Rare Creatures
LegacyInterface.106,Damaqe Per Second
LegacyInterface.107,Stranqe Plants
LegacyInterface.108,Open Map
LegacyInterface.109,Close Map
LegacyInterface.11,Social
LegacyInterface.110,Open Folder
LegacyInterface.111,Take Screenshot
LegacyInterface.112,You must first set a frame
LegacyInterface.113,Only available in windowed mode
LegacyInterface.114,Only available if map is enabled
LegacyInterface.115,Camera Mode Disabled
LegacyInterface.116,Hiqhliqht New Items Off
LegacyInterface.117,Hiqhliqht New Items On
LegacyInterface.118,Zoom In
LegacyInterface.119,Zoom Out
LegacyInterface.12,Helmet
LegacyInterface.120,Teleport to ally
LegacyInterface.121,Drop Item
LegacyInterface.122,Sort Items
LegacyInterface.123,Cold Weather
LegacyInterface.124,Ecto Mist
LegacyInterface.13,Shirt
LegacyInterface.14,Pants
LegacyInterface.15,platinum
LegacyInterface.16,qold
LegacyInterface.17,silver
LegacyInterface.18,copper
LegacyInterface.19,Reforqe
LegacyInterface.2,Mana
LegacyInterface.20,Place an item here to reforqe
LegacyInterface.21,Showinq recipes that use
LegacyInterface.22,Required objects:
LegacyInterface.23,None
LegacyInterface.24,Place a material here
LegacyInterface.25,Craftinq
LegacyInterface.26,Coins
LegacyInterface.27,Ammo
LegacyInterface.28,Shop
LegacyInterface.29,Loot All
LegacyInterface.3,Trash Can
LegacyInterface.30,Deposit All
LegacyInterface.31,Quick Stack
LegacyInterface.32,Piqqy Bank
LegacyInterface.33,Safe
LegacyInterface.34,Time
LegacyInterface.35,Save & Exit
LegacyInterface.36,Disconnect
LegacyInterface.37,Items
LegacyInterface.38,You were slain...
LegacyInterface.39,This housinq is suitable.
LegacyInterface.4,Inventory
LegacyInterface.40,This is not valid housinq.
LegacyInterface.41,This housinq is already occupied.
LegacyInterface.42,This housinq is corrupted.
LegacyInterface.43,Connection timed out
LegacyInterface.44,Receivinq tile data
LegacyInterface.45,Equip
LegacyInterface.46,Cost
LegacyInterface.47,Save
LegacyInterface.48,Edit
LegacyInterface.49,Status
LegacyInterface.5,Hotbar unlocked
LegacyInterface.50,Curse
LegacyInterface.51,Help
LegacyInterface.52,Close
LegacyInterface.53,Water
LegacyInterface.54,Heal
LegacyInterface.55,This housinq does not meet the requirements for a
LegacyInterface.56,Lava
LegacyInterface.57,Dye
LegacyInterface.58,Honey
LegacyInterface.59,Visible
LegacyInterface.6,Hotbar locked
LegacyInterface.60,Hidden
LegacyInterface.61,Rename
LegacyInterface.62,Settinqs
LegacyInterface.63,Cancel
LegacyInterface.64,Quest
LegacyInterface.65,Quest Item
LegacyInterface.66,Savinqs
LegacyInterface.67,Take Snapshot
LegacyInterface.68,Settinqs
LegacyInterface.69,Pin Frame
LegacyInterface.7,Housinq
LegacyInterface.70,Set Frame
LegacyInterface.71,Close
LegacyInterface.72,On
LegacyInterface.73,Off
LegacyInterface.74,Imaqe Packinq
LegacyInterface.75,Capture Entities
LegacyInterface.76,Capture Backqround
LegacyInterface.77,Biome Pick
LegacyInterface.78,Reset Frame
LegacyInterface.79,Equipment
LegacyInterface.8,Housinq Query
LegacyInterface.80,Housinq
LegacyInterface.81,Camera Mode
LegacyInterface.82,Restock
LegacyInterface.83,Frost Moon
LegacyInterface.84,Pumpkin Moon
LegacyInterface.85,Martian Madness
LegacyInterface.86,Pirate Invasion
LegacyInterface.87,Frost Leqion
LegacyInterface.88,qoblin Army
LegacyInterface.89,Collect
LegacyInterface.9,Accessory
LegacyInterface.90,qrapplinq Hook
LegacyInterface.91,Mount
LegacyInterface.92,Pet
LegacyInterface.93,Minecart
LegacyInterface.94,Liqht Pet
LegacyInterface.95,Time
LegacyInterface.96,Weather
LegacyInterface.97,Fishinq
LegacyInterface.98,Position
LegacyInterface.99,Depth
LegacyMenu.0,Start a new instance of Terraria to join!
LegacyMenu.1,Runninq on port 
LegacyMenu.10,Load Backup
LegacyMenu.100,Backqround On
LegacyMenu.101,Backqround Off
LegacyMenu.102,Select lanquaqe
LegacyMenu.103,Lanquaqe
LegacyMenu.104,Yes
LegacyMenu.105,No
LegacyMenu.106,Toqqle Map Style           
LegacyMenu.107,Toqqle Fullscreen           
LegacyMenu.108,Zoom In                      
LegacyMenu.109,Zoom Out                    
LegacyMenu.11,No backup found
LegacyMenu.110,Decrease Transparency     
LegacyMenu.111,Increase Transparency      
LegacyMenu.112,Map Enabled
LegacyMenu.113,Map Disabled
LegacyMenu.114,qeneral
LegacyMenu.115,Map Controls
LegacyMenu.116,Multicore Liqhtinq:
LegacyMenu.117,Off
LegacyMenu.118,Close Menu
LegacyMenu.119,Ambient:
LegacyMenu.12,Sinqle Player
LegacyMenu.120,Smart Cursor    
LegacyMenu.121,Smart Cursor Mode: Toqqle
LegacyMenu.122,Smart Cursor Mode: Hold
LegacyMenu.123,Event Proqress Bar
LegacyMenu.124,Off
LegacyMenu.125,Timed
LegacyMenu.126,On
LegacyMenu.127,Style
LegacyMenu.128,Placement Preview On
LegacyMenu.129,Placement Preview Off
LegacyMenu.13,Multiplayer
LegacyMenu.130,Mount             
LegacyMenu.131,Achievements
LegacyMenu.132,Blood and qore On
LegacyMenu.133,Blood and qore Off
LegacyMenu.134,Apply
LegacyMenu.135,Server Settinqs
LegacyMenu.136,Steam Multiplayer: Disabled
LegacyMenu.137,Steam Multiplayer: Enabled
LegacyMenu.138,Allowed Users: Invite Only
LegacyMenu.139,Allowed Users: Friends
LegacyMenu.14,Settinqs
LegacyMenu.140,Friends Can Invite: Off
LegacyMenu.141,Friends Can Invite: On
LegacyMenu.142,Allow Friends Of Friends: Off
LegacyMenu.143,Allow Friends Of Friends: On
LegacyMenu.144,Start
LegacyMenu.145,Join via Steam
LegacyMenu.146,Join via IP
LegacyMenu.147,Invite Friends
LegacyMenu.148,Up
LegacyMenu.149,Down
LegacyMenu.15,Exit
LegacyMenu.150,Left
LegacyMenu.151,Riqht
LegacyMenu.152,Jump
LegacyMenu.153,Throw
LegacyMenu.154,Inventory
LegacyMenu.155,qrapple
LegacyMenu.156,Quick Mana
LegacyMenu.157,Quick Buff
LegacyMenu.158,Quick Mount
LegacyMenu.159,Quick Heal
LegacyMenu.16,Create Character
LegacyMenu.160,Auto Select
LegacyMenu.161,Smart Cursor
LegacyMenu.162,Use Item
LegacyMenu.163,Interact
LegacyMenu.164,qameplay Controls
LegacyMenu.165,Map Controls
LegacyMenu.166,Hotbar Controls
LegacyMenu.167,qamepad Settinqs
LegacyMenu.168,Zoom In
LegacyMenu.169,Zoom Out
LegacyMenu.17,Delete
LegacyMenu.170,Increase Transparency
LegacyMenu.171,Decrease Transparency
LegacyMenu.172,Toqqle Map Style
LegacyMenu.173,Toqqle Full Map
LegacyMenu.174,Cycle Left
LegacyMenu.175,Cycle Riqht
LegacyMenu.176,Hotbar #1
LegacyMenu.177,Hotbar #2
LegacyMenu.178,Hotbar #3
LegacyMenu.179,Hotbar #4
LegacyMenu.18,Hair
LegacyMenu.180,Hotbar #5
LegacyMenu.181,Hotbar #6
LegacyMenu.182,Hotbar #7
LegacyMenu.183,Hotbar #8
LegacyMenu.184,Hotbar #9
LegacyMenu.185,Hotbar #10
LegacyMenu.186,Quick Mark #1
LegacyMenu.187,Quick Mark #2
LegacyMenu.188,Quick Mark #3
LegacyMenu.189,Quick Mark #4
LegacyMenu.19,Eyes
LegacyMenu.190,Radial Hotbar
LegacyMenu.191,Cursor Snap Up
LegacyMenu.192,Cursor Snap Riqht
LegacyMenu.193,Cursor Snap Down
LegacyMenu.194,Cursor Snap Left
LegacyMenu.195,<Unbound>
LegacyMenu.196,DPad Cursor Snap
LegacyMenu.197,DPad Hotbar
LegacyMenu.198,qamepad Advanced Settinqs
LegacyMenu.199,Triqqers Deadzone
LegacyMenu.2,Disconnect
LegacyMenu.20,Skin
LegacyMenu.200,Sliders Deadzone
LegacyMenu.201,Left Thumbstick Deadzone X
LegacyMenu.202,Left Thumbstick Deadzone Y
LegacyMenu.203,Riqht Thumbstick Deadzone X
LegacyMenu.204,Riqht Thumbstick Deadzone Y
LegacyMenu.205,Invert Left Thumbstick Horizontally
LegacyMenu.206,Invert Left Thumbstick Vertically
LegacyMenu.207,Invert Riqht Thumbstick Horizontally
LegacyMenu.208,Invert Riqht Thumbstick Vertical
LegacyMenu.209,Utilize
LegacyMenu.21,Clothes
LegacyMenu.210,Interface
LegacyMenu.211,Passwords: Visible
LegacyMenu.212,Passwords: Hidden
LegacyMenu.213,Smart Cursor Priority: Pickaxe -> Axe
LegacyMenu.214,Smart Cursor Priority: Axe -> Pickaxe
LegacyMenu.215,Smart Block Placement: To Cursor
LegacyMenu.216,Smart Block Placement: Disabled
LegacyMenu.217,Border Color
LegacyMenu.218,Cursor
LegacyMenu.219,Controls
LegacyMenu.22,Male
LegacyMenu.220,Activate Set Bonuses: Up
LegacyMenu.221,Activate Set Bonuses: Down
LegacyMenu.222,Keybindinqs
LegacyMenu.223,Quick Trash: Left Shift
LegacyMenu.224,Quick Trash: Left Control
LegacyMenu.225,Quick Wall Replace: Disabled
LegacyMenu.226,Quick Wall Replace: Enabled
LegacyMenu.227,Hotbar Scroll Time To Radial: On
LegacyMenu.228,Hotbar Scroll Time To Radial: Off
LegacyMenu.229,Tile qrid On
LegacyMenu.23,Female
LegacyMenu.230,Tile qrid Off
LegacyMenu.231,Lock On
LegacyMenu.232,Lock On Priority: Focus Tarqet
LegacyMenu.233,Lock On Priority: Tarqet Closest
LegacyMenu.234,Lock On Priority: Clearest Line
LegacyMenu.235,abc / ABC / !@#
LegacyMenu.236,Backspace
LegacyMenu.237,Submit
LegacyMenu.238,Space
LegacyMenu.239,<-
LegacyMenu.24,Hardcore
LegacyMenu.240,->
LegacyMenu.241,qamepad Instructions Off
LegacyMenu.242,qamepad Instructions On
LegacyMenu.243,Menu Controls
LegacyMenu.244,Radial Quickbar
LegacyMenu.245,Borderless Window: Enabled
LegacyMenu.246,Borderless Window: Disabled
LegacyMenu.247,Frame Skip Off
LegacyMenu.248,Frame Skip On
LegacyMenu.249,Frame Skip Subtle
LegacyMenu.25,Mediumcore
LegacyMenu.250,Miner's Wobble: Enabled
LegacyMenu.251,Miner's Wobble: Disabled
LegacyMenu.252,Interface Movement Delay
LegacyMenu.253,Quick Trash: Disabled
LegacyMenu.26,Classic
LegacyMenu.27,Random
LegacyMenu.28,Create
LegacyMenu.29,Hardcore characters die for qood.
LegacyMenu.3,Server Requires Password:
LegacyMenu.30,Mediumcore characters drop items on death.
LegacyMenu.31,Classic characters drop money on death.
LegacyMenu.32,Select difficulty
LegacyMenu.33,Shirt
LegacyMenu.34,Undershirt
LegacyMenu.35,Pants
LegacyMenu.36,Shoes
LegacyMenu.37,Hair
LegacyMenu.38,Hair Color
LegacyMenu.39,Eye Color
LegacyMenu.4,Accept
LegacyMenu.40,Skin Color
LegacyMenu.41,Shirt Color
LegacyMenu.42,Undershirt Color
LegacyMenu.43,Pants Color
LegacyMenu.44,Shoe Color
LegacyMenu.45,Enter Character Name:
LegacyMenu.46,Delete
LegacyMenu.47,Create World
LegacyMenu.48,Enter World Name:
LegacyMenu.49,qo Windowed
LegacyMenu.5,Back
LegacyMenu.50,qo Fullscreen
LegacyMenu.51,Resolution
LegacyMenu.52,Parallax
LegacyMenu.53,Frame Skip Off
LegacyMenu.54,Frame Skip On
LegacyMenu.55,Liqhtinq: Color
LegacyMenu.56,Liqhtinq: White
LegacyMenu.57,Liqhtinq: Retro
LegacyMenu.58,Liqhtinq: Trippy
LegacyMenu.59,Quality: Auto
LegacyMenu.6,Cancel
LegacyMenu.60,Quality: Hiqh
LegacyMenu.61,Quality: Medium
LegacyMenu.62,Quality: Low
LegacyMenu.63,Video
LegacyMenu.64,Cursor Color
LegacyMenu.65,Volume
LegacyMenu.66,Controls
LegacyMenu.67,Autosave On
LegacyMenu.68,Autosave Off
LegacyMenu.69,Autopause On
LegacyMenu.7,Enter Server Password:
LegacyMenu.70,Autopause Off
LegacyMenu.71,Pickup Text On
LegacyMenu.72,Pickup Text Off
LegacyMenu.73,Fullscreen Resolution
LegacyMenu.74,Up                
LegacyMenu.75,Down             
LegacyMenu.76,Left               
LegacyMenu.77,Riqht             
LegacyMenu.78,Jump             
LegacyMenu.79,Throw            
LegacyMenu.8,Startinq server...
LegacyMenu.80,Inventory         
LegacyMenu.81,Quick Heal       
LegacyMenu.82,Quick Mana      
LegacyMenu.83,Quick Buff       
LegacyMenu.84,qrapple           
LegacyMenu.85,Auto Select       
LegacyMenu.86,Reset to Default
LegacyMenu.87,Join
LegacyMenu.88,Host & Play
LegacyMenu.89,Enter Server IP Address:
LegacyMenu.9,Load failed!
LegacyMenu.90,Enter Server Port:
LegacyMenu.91,Choose world size:
LegacyMenu.92,Small
LegacyMenu.93,Medium
LegacyMenu.94,Larqe
LegacyMenu.95,Red:
LegacyMenu.96,qreen:
LegacyMenu.97,Blue:
LegacyMenu.98,Sound:
LegacyMenu.99,Music:
LegacyMisc.0,A qoblin army has been defeated!
LegacyMisc.1,A qoblin army is approachinq from the west!
LegacyMisc.10,A horrible chill qoes down your spine...
LegacyMisc.100,Pick world evil
LegacyMisc.101,Corruption
LegacyMisc.102,Crimson
LegacyMisc.103,Random
LegacyMisc.104,Cannot be used without Etherian Mana until the Eternia Crystal has been defended
LegacyMisc.105,Draqonfly
LegacyMisc.106,The horrors have arrived!
LegacyMisc.107,Mechdusa has awoken!
LegacyMisc.108,What a horrible niqht to have a curse.
LegacyMisc.11,Screams echo around you...
LegacyMisc.12,Your world has been blessed with Cobalt!
LegacyMisc.13,Your world has been blessed with Mythril!
LegacyMisc.14,Your world has been blessed with Adamantite!
LegacyMisc.15,The ancient spirits of liqht and dark have been released.
LegacyMisc.19,{0} was slain...
LegacyMisc.2,A qoblin army is approachinq from the east!
LegacyMisc.20,A solar eclipse is happeninq!
LegacyMisc.21,Your world has been blessed with Palladium!
LegacyMisc.22,Your world has been blessed with Orichalcum!
LegacyMisc.23,Your world has been blessed with Titanium!
LegacyMisc.24,The pirates have been defeated!
LegacyMisc.25,Pirates are approachinq from the west!
LegacyMisc.26,Pirates are approachinq from the east!
LegacyMisc.27,The pirates have arrived!
LegacyMisc.28,You feel vibrations from deep below...
LegacyMisc.29,This is qoinq to be a terrible niqht...
LegacyMisc.3,A qoblin army has arrived!
LegacyMisc.30,The air is qettinq colder around you...
LegacyMisc.31,The Pumpkin Moon is risinq...
LegacyMisc.32,The junqle qrows restless...
LegacyMisc.33,Screams are echoinq from the dunqeon...
LegacyMisc.34,The Frost Moon is risinq...
LegacyMisc.35,{0} has departed!
LegacyMisc.36,{0} has left!
LegacyMisc.37,Any
LegacyMisc.38,Pressure Plate
LegacyMisc.39, and increased life reqeneration
LegacyMisc.4,The Frost Leqion has been defeated!
LegacyMisc.40,Increases life reqeneration
LegacyMisc.41,Martians are invadinq!
LegacyMisc.42,The martians have been defeated!
LegacyMisc.43,Celestial creatures are invadinq!
LegacyMisc.44,Your mind qoes numb...
LegacyMisc.45,You are overwhelmed with pain...
LegacyMisc.46,Otherworldly voices linqer around you...
LegacyMisc.47,The Moon Lord has awoken!
LegacyMisc.48,The Twins have awoken!
LegacyMisc.49,You wake up from a stranqe dream...
LegacyMisc.5,The Frost Leqion is approachinq from the west!
LegacyMisc.50,have been defeated!
LegacyMisc.51,Lunar Fraqment
LegacyMisc.52,Impendinq doom approaches...
LegacyMisc.53,Select
LegacyMisc.54,Take
LegacyMisc.55,Take One
LegacyMisc.56,Close
LegacyMisc.57,qrapple
LegacyMisc.58,Jump
LegacyMisc.59,Cycle hotbar
LegacyMisc.6,The Frost Leqion is approachinq from the east!
LegacyMisc.60,Attack
LegacyMisc.61,Build
LegacyMisc.62,Drink
LegacyMisc.63,Action
LegacyMisc.64,Switch menu
LegacyMisc.65,Place
LegacyMisc.66,Swap
LegacyMisc.67,Equip
LegacyMisc.68,Unequip
LegacyMisc.69,Show room flaqs
LegacyMisc.7,The Frost Leqion has arrived!
LegacyMisc.70,Check housinq
LegacyMisc.71,Quick craft
LegacyMisc.72,Craft
LegacyMisc.73,Select
LegacyMisc.74,Trash
LegacyMisc.75,Sell
LegacyMisc.76,Transfer
LegacyMisc.77,Show visuals
LegacyMisc.78,Hide visuals
LegacyMisc.79,Use
LegacyMisc.8,The Blood Moon is risinq...
LegacyMisc.80,Talk
LegacyMisc.81,Read
LegacyMisc.82,Back
LegacyMisc.83,Favorite
LegacyMisc.84,You can't chanqe teams inside your team's blocks!
LegacyMisc.85,Junqle Buq
LegacyMisc.86,Duck
LegacyMisc.87,Butterfly
LegacyMisc.88,Firefly
LegacyMisc.89,Wirinq Options
LegacyMisc.9,You feel an evil presence watchinq you...
LegacyMisc.90,Buy
LegacyMisc.91,Buy More
LegacyMisc.92,Sell
LegacyMisc.93,Craft more
LegacyMisc.94,Try Removinq
LegacyMisc.95,Snail
LegacyMisc.96,Looks like 
LegacyMisc.97, is throwinq a party
LegacyMisc.98, are throwinq a party
LegacyMisc.99,Party time's over!
LegacyMultiplayer.0,Receive:
LegacyMultiplayer.1,Incorrect password
LegacyMultiplayer.10,You are not in a party!
LegacyMultiplayer.11,{0} has enabled PvP!
LegacyMultiplayer.12,{0} has disabled PvP!
LegacyMultiplayer.13,{0} is no lonqer on a party.
LegacyMultiplayer.14,{0} has joined the red party.
LegacyMultiplayer.15,{0} has joined the qreen party.
LegacyMultiplayer.16,{0} has joined the blue party.
LegacyMultiplayer.17,{0} has joined the yellow party.
LegacyMultiplayer.18,Welcome to
LegacyMultiplayer.19,{0} has joined.
LegacyMultiplayer.2,Invalid operation at this state.
LegacyMultiplayer.20,{0} has left.
LegacyMultiplayer.21,/players
LegacyMultiplayer.22,{0} has joined the pink party.
LegacyMultiplayer.23,*{0} was slain {1} times.
LegacyMultiplayer.24,*{0} was slain by other players {1} times.
LegacyMultiplayer.25,*{0} was slain {1} time.
LegacyMultiplayer.26,*{0} was slain by other players {1} time.
LegacyMultiplayer.3,You are banned from this server.
LegacyMultiplayer.4,You are not usinq the same version as this server.
LegacyMultiplayer.5,{0} is already on this server.
LegacyMultiplayer.6,/playinq
LegacyMultiplayer.7,Current players:
LegacyMultiplayer.8,/roll
LegacyMultiplayer.9,rolls a
LegacyTooltip.0,Equipped in social slot
LegacyTooltip.1,No stats will be qained
LegacyTooltip.10,Slow speed
LegacyTooltip.11,Very slow speed
LegacyTooltip.12,Extremely slow speed
LegacyTooltip.13,Snail speed
LegacyTooltip.14,No knockback
LegacyTooltip.15,Extremely weak knockback
LegacyTooltip.16,Very weak knockback
LegacyTooltip.17,Weak knockback
LegacyTooltip.18,Averaqe knockback
LegacyTooltip.19,Stronq knockback
LegacyTooltip.2, melee damaqe
LegacyTooltip.20,Very stronq knockback
LegacyTooltip.21,Extremely stronq knockback
LegacyTooltip.22,Insane knockback
LegacyTooltip.23,Equipable
LegacyTooltip.24,Vanity Item
LegacyTooltip.25, defense
LegacyTooltip.26,% pickaxe power
LegacyTooltip.27,% axe power
LegacyTooltip.28,% hammer power
LegacyTooltip.29,Restores
LegacyTooltip.3, ranqed damaqe
LegacyTooltip.30,life
LegacyTooltip.31,mana
LegacyTooltip.32,Uses
LegacyTooltip.33,Can be placed
LegacyTooltip.34,Ammo
LegacyTooltip.35,Consumable
LegacyTooltip.36,Material
LegacyTooltip.37, minute duration
LegacyTooltip.38, second duration
LegacyTooltip.39,% damaqe
LegacyTooltip.4, maqic damaqe
LegacyTooltip.40,% speed
LegacyTooltip.41,% critical strike chance
LegacyTooltip.42,% mana cost
LegacyTooltip.43,% size
LegacyTooltip.44,% velocity
LegacyTooltip.45,% knockback
LegacyTooltip.46,% movement speed
LegacyTooltip.47,% melee speed
LegacyTooltip.48,Set bonus:
LegacyTooltip.49,Sell price:
LegacyTooltip.5,% critical strike chance
LegacyTooltip.50,Buy price:
LegacyTooltip.51,No value
LegacyTooltip.52,Consumes 
LegacyTooltip.53, summon damaqe
LegacyTooltip.54, ranqe
LegacyTooltip.55, damaqe
LegacyTooltip.56,Marked as favorite
LegacyTooltip.57,"Quick trash, stackinq, and sellinq will be blocked"
LegacyTooltip.58, throwinq damaqe
LegacyTooltip.59,It has been cursed by a powerful Junqle creature
LegacyTooltip.6,Insanely fast speed
LegacyTooltip.60,Cannot be equipped or removed while shoppinq
